	Title	Location	Company	Salary	Synopsis	mean_annual_salary
884	CIRES / NOAA CSL Post-Doctoral Associate or Research Associa...	Boulder, CO 80305 (Central Boulder area)	University of Colorado Boulder	$60,000 - $64,000 a year	Process and analyze mass spectrometric data from field missions.The scientist will perform data analysis to improve scientific understanding of urban air…	62000.0
885	Staff DevOps Engineer	Remote in Westminster, CO	Genapsys, Inc.	$136,000 - $210,000 a year	Work with data scientists and analysts to improve software quality, performance and scalability.As a member of the Digital Science team you will support the…	173000.0
886	Controllership Accountant	Remote in Denver, CO 80238	AECOM	$47,490 - $65,000 a year	+ Performs various types of data mass updates in Oracle.Part of DCS-Americas Controllership team, this role is involved with various systems monitoring,…	56245.0
887	Senior ML Engineer - Stealth, Fully Funded (50M+) Biomed AI...	Boulder, CO 80302	CyberCoders	$100,000 - $175,000 a year	Online (real-time) and offline data collection from wearable sensors.Through decades of research, we are introducing a consumer wearable that measures a…	137500.0
888	Data Scientist, Economic and Policy Research	Hybrid remote in Boulder, CO 80309	University of Colorado Boulder	$65,000 - $80,000 a year	Write articles and reports about data.Conduct analytical and statistical analysis of economic data.Create and deploy surveys for the collection of primary…	72500.0
889	Data Scientist	Remote in Boulder, CO 80302	Techstars	$125,000 - $175,000 a year	Proficiency in programming languages for data and statistical analysis (R, Python), databases (SQL, APIs), infrastructure (AWS), and data visualization (Tableau…	150000.0
890	Data Assimilation / Machine Learning Scientist	Remote in Boulder, CO+1 location	Tomorrow.io	$100,000 - $160,000 a year	The tomorrow.io space numerical weather prediction (NWP) and data assimilation (DA) R&D department is a group of scientists, mathematicians, and engineers.	130000.0
891	Decision Scientist, Retail	Remote in Denver, CO 80202+1 location	Ibotta	$80,000 - $100,000 a year	2+ years of experience in an analytics or data science role involving data extraction and statistical modeling.	90000.0
892	Senior Data Scientist at Rent-to-Own Startup	Remote in Boulder, CO 80305+5 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
893	Machine Learning Scientist	Denver, CO	Teladoc Health	$54,000 - $130,000 a year	This includes data transformation, feature engineering, unsupervised learning, supervised learning and time series modeling.	92000.0
894	Staff Data Scientist, Metrics Intelligence - Slack	Denver, CO+2 locations	Salesforce	$150,200 a year	You will work with data scientists and business analysts (from various business groups) to understand, synthesize, and communicate evolving trends in product…	150200.0
895	Senior Data Scientist/Machine Learning Engineer	Remote in Boulder, CO 80305+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
896	Senior Data Scientist at Rent-to-Own Startup	Remote in Boulder, CO 80305	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
897	Sr SFS Data Analyst	Longmont, CO 80503	Intrado	$19.50 - $20.97 an hour	Minimum three years data collection or data entry experience required.Must successfully meet minimum score on data entry test.	40470.0
898	Principal, Data Science/Analytics	Boulder, CO 80301	Splunk	$110,000 a year	Develop standardized data and insights to drive pricing decisions.Lead development of Tableau dashboards to surface and redefine data.	110000.0
899	IT Specialist (Data Scientist), ZP-2210-3 (DE/CR)	Temporarily Remote in Boulder, CO	US National Oceanic and Atmospheric Administration	$67,240 - $113,743 a year	Knowledge of emerging data management systems.Assisting with the design, implementation, and oversight of data management architectures, systems and software…	90491.5
900	Mathematician	Boulder, CO 80301	Northrop Grumman	$90,600 - $136,000 a year	Breadth and depth in the application of mathematics to perform data analysis and algorithm development for military applications.	113300.0
901	Principal, Data Science/Analytics	Boulder, CO 80301	Splunk	$110,000 a year	Develop standardized data and insights to drive pricing decisions.Lead development of Tableau dashboards to surface and redefine data.What You'll Be Doing:	110000.0
902	Decision Scientist, Retail	Remote in Denver, CO 80202+1 location	Ibotta	$80,000 - $100,000 a year	2+ years of experience in an analytics or data science role involving data extraction and statistical modeling.What you’ll be doing:What we are looking for:	90000.0
903	Sr SFS Data Analyst	Longmont, CO 80503	Intrado	$19.50 - $20.97 an hour	Minimum three years data collection or data entry experience required.Must successfully meet minimum score on data entry test.Want to love where you work?	40470.0
904	SDE- Measurement & Data Science- 2021	Boulder, CO+2 locations	Amazon.com Services LLC	$122,200 - $160,000 a year	Experience in databases, analytics, big data systems or business intelligence products.Be part of a team of industry leading experts that builds and operates…	141100.0
905	SDE- Measurement & Data Science- 2021	Boulder, CO+2 locations	Amazon.com Services LLC	$122,200 - $160,000 a year	Experience in databases, analytics, big data systems or business intelligence products.Amazon is applying the latest machine learning and big data technologies…	141100.0
906	Mathematician /Algorithm Engineer (4/5)	Boulder, CO 80301	Northrop Grumman	$125,800 - $188,600 a year	Breadth and depth in the application of mathematics to perform data analysis and algorithm development for military applications.	157200.0
907	Manager, Machine Learning Engineering	Boulder, CO 80301+1 location	Workday	$160,000 a year	Relevant experience shipping data products.Strong understanding of data and/or ML fundamentals.In this role, you will lead and partner with data scientists,…	160000.0
908	Data Plane Engineer	Remote in Boulder, CO 80305	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
909	SDE- Measurement & Data Science- 2021	Boulder, CO+2 locations	Amazon.com Services LLC	$122,200 - $160,000 a year	· 2+ years of non-internship professional software development experience · Programming experience with at least one modern language such as Java, C++, or C#…	141100.0
910	Senior Data Analyst	Denver, CO 80211 (Sunnyside area)	Artifact Uprising	$100,000 - $115,000 a year	Denver, CO - We are looking for a Senior Data Analyst to join one of the most exciting and fast-growing consumer companies in Denver. As part of the analytics…	107500.0
911	Data Science Strategist, Connectivity Analytics	Denver, CO+2 locations	Facebook App	$136,000 a year	Meta Connectivity's mission is to connect the world to the Metaverse. Together, with hundreds of partners across dozens of countries, Meta is working to help…	136000.0
912	Data Scientist Jr. - Sr.	Denver, CO	Criterion Systems, Inc.	$89,000 - $169,000 a year	Overview: At Criterion Systems, we developed a different kind of business—a company whose real value is a reputation for excellence built upon the collective…	129000.0
913	Sports Statistician - Basketball	Westminster, CO 80020	Life Time	Up to $13.56 an hour	. Position Summary The Sports Statistician assists in the execution of LT Sport leagues by tracking full statistics for league games. LT Sport leagues may…	27120.0
914	Sr. Data Analyst - Partner Analytics	Remote in Denver, CO 80202	Strive Health	$85,000 - $105,000 a year	Overview: Strive Health Strive Health is built for purpose- to transform a broken kidney care system. We are fundamentally changing the lives of kidney…	95000.0
915	Quality Data Analyst Sr	Denver, CO 80218 (Central East Denver area)	Saint Joseph Hospital	$24.49 - $52.39 an hour	You. You bring your body, mind, heart and spirit to your work as a Sr Quality Data Analyst. You know when to move quickly. When to sit quietly. When to…	76880.0
916	Sr. Product Manager, Machine Learning	Boulder, CO 80301	Workday	$130,600 a year	Do what you love. Love what you do. At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a…	130600.0
917	Mathematician /Algorithm Engineer (4/5)	Boulder, CO 80301	Northrop Grumman	$125,800 - $188,600 a year	Requisition ID: R10039990 Category: Engineering Location: Boulder, Colorado, United States of America Citizenship Required: United States Citizenship…	157200.0
918	Senior Credit Strategy Analyst - Data Scientist	Denver, CO 80202 (Central Business District area)	Funding Circle US	$105,000 - $130,000 a year	Who are we? We want to help small businesses win. That’s why we’re here. We connect small business owners to investors – to create jobs, support local…	117500.0
